Gene,SHAP_Importance
C1S,0.0015797478444301305
C6orf62,0.001578169593194616
OAZ1,0.0015756376729950715
POLR2L,0.0015721409732987013
SHISA5,0.0015719975115644047
CALCOCO2,0.0015718455572641687
GALNT1,0.0015717737462694003
IFI27,0.0015685927872982576
TMEM181,0.0015680908846297825
PDIA3P,0.0015661198848465575
MAT2A,0.0015634547178342473
CD9,0.0015598007019275429
PTMS,0.0015588225574720126
RAC1,0.0015583837189842597
LRPPRC,0.0015554139133837452
AHR,0.0015529095172314555
COX6A1,0.0015510051359888166
HLA-DRB5,0.0015509453603590373
ATP5A1,0.0015504572406371154
ESRP1,0.0015504030333886476
TFAP2A,0.0015490829861300882
CD81,0.0015436916273870338
ADAMTS1,0.0015341963416722138
C1orf198,0.0015318508653825802
PPAPDC1B,0.0015250586213232963
TMCO1,0.0015209700482955667
LRP2,0.0015169061115102521
ERRFI1,0.0015163227398716117
ZFP36L1,0.0015162653859988496
ATP5G3,0.0015148562949525513
SHISA2,0.001513419542752672
PSMD4,0.0015127787760138745
ENPP5,0.0015094130919806048
PCGF2,0.0015087584041248191
TBL1XR1,0.0015084059928858551
MMP9,0.00150827062724602
PLOD2,0.0015055546324219903
MARCKS,0.0015046155136224115
PPA1,0.001501443322056275
FKBP10,0.001499053869774798
ATXN7L3B,0.0014970574607832531
CRISP3,0.0014964555719780036
CAPG,0.0014957546174991876
IDO1,0.0014936666791436437
CCNG2,0.0014923378783350926
HK1,0.0014915945717075374
